participant,scenario,planning_distance,navigating_distance
8,1,98.12,897.23
8,2,10.54,943.56
8,3,14.66,566.87
8,4,12.41,955.78
9,1,39.4,537.79
9,2,7.05,560.17
9,3,1.26,569.24
9,4,8.45,1110.32
10,1,80.75,535.19
10,2,0.45,886.25
10,3,12.93,985.34
10,4,188.28,991.34
12,1,0.0,703.31
12,2,7.96,938.19
12,3,2.16,896.09
12,4,1.01,668.24
13,1,0.63,591.44
13,2,0.37,579.95
13,3,0.45,486.99
13,4,9.98,1061.78
15,1,4.48,619.43
15,2,229.95,725.39
15,3,13.93,987.57
15,4,37.5,1558.0
16,1,3.63,562.32
16,2,5.72,887.15
16,3,1.67,508.77
16,4,0.41,798.88
17,1,0.52,767.82
17,2,1.89,725.94
17,3,227.0,761.98
17,4,2.03,847.93
18,1,0.0,646.12
18,2,0.47,1007.2
18,3,1.61,652.58
18,4,1.47,479.37
19,1,4.85,687.5
19,2,0.69,564.05
19,3,4.26,563.42
19,4,0.31,595.42
20,1,0.0,649.01
20,2,362.58,316.67
20,3,253.73,218.98
20,4,3.11,844.03
21,1,0.0,703.74
21,2,0.55,1414.51
21,3,1.72,945.81
21,4,0.34,520.73
22,1,0.25,830.05
22,2,1.01,722.82
22,3,6.03,731.25
22,4,20.79,550.98
23,1,2.09,578.93
23,2,4.4,873.89
23,3,0.21,899.11
23,4,3.98,1129.08
24,1,0.11,750.84
24,2,0.0,782.46
24,3,1.24,571.04
24,4,0.38,787.95
25,1,0.14,543.52
25,2,0.0,612.39
25,3,1.15,753.93
25,4,14.49,1034.77
26,1,2.19,684.39
26,2,10.71,839.95
26,3,10.58,905.31
26,4,78.34,919.44
27,1,203.28,473.87
27,2,3.27,675.5
27,3,18.52,455.3
27,4,0.81,512.77
28,1,0.01,573.85
28,2,13.51,826.25
28,3,1.88,593.59
28,4,2.67,485.75
29,1,0.0,794.15
29,2,16.88,955.95
29,3,2.16,476.22
29,4,0.36,852.58
30,1,0.42,577.87
30,2,0.0,626.38
30,3,1.83,562.25
30,4,10.18,905.65
31,1,1.71,701.84
31,2,0.5,598.11
31,3,0.36,911.58
31,4,5.06,994.78
32,1,0.15,561.64
32,2,22.41,929.08
32,3,2.68,684.66
32,4,7.27,659.37
33,1,3.06,834.06
33,2,0.54,870.11
33,3,1.95,584.59
33,4,1.1,516.79
34,1,27.92,556.47
34,2,62.8,880.73
34,3,49.66,655.5
34,4,236.47,300.58
35,1,0.5,528.14
35,2,34.68,526.0
35,3,7.45,560.26
35,4,0.14,638.89
36,1,0.0,612.18
36,2,0.45,581.13
36,3,0.79,488.27
36,4,14.12,851.04
37,1,0.56,1279.41
37,2,1.15,1168.81
37,3,0.47,865.36
37,4,23.95,710.1
38,1,3.64,1023.88
38,2,0.61,968.59
38,3,6.49,1166.68
38,4,0.57,1008.52
39,1,0.03,596.96
39,2,0.29,716.72
39,3,1.85,676.44
39,4,1.19,975.93
40,1,13.06,703.84
40,2,0.56,724.53
40,3,10.87,521.47
40,4,1.26,439.44
41,1,0.48,770.37
41,2,0.07,548.75
41,3,2.89,613.19
41,4,4.83,945.35
42,1,3.23,526.21
42,2,0.33,577.18
42,3,0.34,485.03
42,4,2.1,811.99
43,1,33.49,840.23
43,2,19.18,658.18
43,3,9.78,590.91
43,4,31.17,519.25
44,1,0.0,428.0
44,2,5.7,691.29
44,3,2.5,702.59
44,4,1.38,490.97
45,1,0.54,707.28
45,2,604.1,241.52
45,3,564.29,355.1
45,4,133.22,696.88
46,1,0.0,525.94
46,2,0.0,623.18
46,3,1.36,528.16
46,4,3.01,1092.76
47,1,0.45,659.25
47,2,0.0,616.96
47,3,3.73,600.12
47,4,1.9,489.01
48,1,0.09,772.98
48,2,0.15,1125.06
48,3,1.14,614.72
48,4,3.68,650.27
49,1,0.76,667.06
49,2,0.0,695.08
49,3,0.75,692.38
49,4,230.04,421.29
50,1,0.31,699.1
50,2,0.72,849.09
50,3,2.92,586.27
50,4,75.02,412.73
51,1,1.5,771.7
51,2,3.82,1287.39
51,3,3.71,1169.53
51,4,2.07,558.74
52,1,1.67,774.5
52,2,2.23,841.48
52,3,1.94,512.07
52,4,3.62,880.28
53,1,0.0,639.95
53,2,0.75,720.23
53,3,0.96,483.0
53,4,1.11,534.55
54,1,13.82,543.32
54,2,2.8,627.04
54,3,2.7,648.14
54,4,16.04,608.52
55,1,0.02,568.09
55,2,0.23,817.36
55,3,2.0,499.88
55,4,16.64,1088.69
56,1,0.56,622.5
56,2,0.0,591.82
56,3,1.06,505.14
56,4,1.91,525.45
57,1,5.18,784.68
57,2,4.54,625.04
57,3,0.51,664.15
57,4,3.88,1236.0
58,1,1.43,591.4
58,2,12.72,608.23
58,3,3.64,558.28
58,4,9.38,832.22
59,1,12.92,724.51
59,2,0.53,657.25
59,3,4.74,999.66
59,4,7.78,640.58
60,1,390.39,381.2
60,2,2.02,944.27
60,3,253.2,292.41
60,4,6.97,1467.82
61,1,0.0,765.82
61,2,1.19,812.15
61,3,1.43,639.9
61,4,2.38,803.75
62,1,0.0,610.93
62,2,23.94,716.02
62,3,13.41,1037.27
62,4,6.37,1121.58
63,1,0.14,681.95
63,2,0.0,624.1
63,3,11.46,602.32
63,4,5.45,631.03
